Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.6311382977613087 (0.18503874166882384),0.6457905977964401 (0.23345700103104977),nan (nan)
TRAIN010,0.8354635773336186 (0.1350363482024356),nan (nan),nan (nan)
TRAIN011,0.5795525623595014 (0.2254525126060295),0.7397015400049163 (0.1729500517433872),0.20646391969851471 (0.16066725987609834)
TRAIN013,0.4194884432557349 (0.26333776078710247),0.7059699872365365 (0.16930482977319686),0.28798379488007136 (0.19629833510437292)
TRAIN015,nan (nan),0.8405689179897309 (0.11038620713573245),0.6497017326099532 (0.19305173228483322)
TRAIN028,nan (nan),0.7699867380516869 (0.14175027087976855),0.5057905770160935 (0.3010783361673331)
TRAIN029,0.6995871330008787 (0.2389741145288841),0.874986598889033 (0.05769214505629587),nan (nan)
TRAIN032,0.689198127206491 (0.12953130281911926),0.8607961062122794 (0.13422616055266484),nan (nan)
TRAIN041,0.7274201313654581 (0.06885809360977532),nan (nan),nan (nan)
TRAIN046,0.5474721036023564 (0.2364946076939915),0.6277054448922476 (0.13661809857418977),0.7606323501643013 (0.14595248585070725)
TRAIN049,nan (nan),0.39307941378731476 (0.31389192884817846),0.5372680780188791 (0.20751698500418855)
TRAIN050,0.4529496613587882 (0.26982048957506355),nan (nan),0.6073660186745904 (0.18433990798625843)
TRAIN051,0.6170686063717823 (0.18703861561809526),0.8331291025335138 (0.0886986087760141),nan (nan)
TRAIN056,0.6580544583223484 (0.32715374004480186),nan (nan),nan (nan)
