Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.17073170731707318 (0.3809487514345102),0.6271186440677966 (0.48563308173638486),0.3984375 (0.49150009411971146)
TRAIN010,0.851063829787234 (0.35793454103634004),0.8125 (0.39184602471712554),0.9140625 (0.2813730045980522)
TRAIN011,0.26595744680851063 (0.44421083618813206),0.27586206896551724 (0.4495386568579203),0.14150943396226415 (0.3502020979862374)
TRAIN013,0.22826086956521738 (0.4220114281449613),0.7936507936507936 (0.4079346152039786),0.7903225806451613 (0.4104015136821201)
TRAIN015,0.203125 (0.4039056372217742),1.0 (0.0),0.6363636363636364 (0.4866070995624795)
TRAIN028,0.6530612244897959 (0.4809288065886704),0.9714285714285714 (0.1690308509457033),0.8157894736842105 (0.39285945206319156)
TRAIN029,0.90625 (0.296144581080299),0.7674418604651163 (0.4274625743754585),0.7755102040816326 (0.4215697907053756)
TRAIN032,nan (nan),0.4666666666666667 (0.5163977794943222),0.061224489795918366 (0.24222607082590245)
TRAIN041,0.717391304347826 (0.45524320622233805),0.9591836734693877 (0.199914947901746),0.8775510204081632 (0.331200660553418)
TRAIN046,0.6153846153846154 (0.5063696835418333),0.32608695652173914 (0.4739595775584879),0.6 (0.50709255283711)
TRAIN049,0.8125 (0.39184602471712543),0.7614678899082569 (0.42815457940655344),0.7070707070707071 (0.457422353230807)
TRAIN050,0.8791208791208791 (0.3277927812629611),0.7421875 (0.4391490294635069),0.9166666666666666 (0.27804538648895283)
TRAIN051,0.810126582278481 (0.3947069463729927),0.9056603773584906 (0.293689239285741),0.21875 (0.41502300476984294)
TRAIN056,0.7837837837837838 (0.4173417953838007),0.484375 (0.503706499953334),0.5625 (0.49999999999999994)
