Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.49455370843924323 (0.18636718537317093),0.426835373044014 (0.1784950736968052),nan (nan)
TRAIN010,0.5814309944124783 (0.16510525860692457),nan (nan),nan (nan)
TRAIN011,0.3533025204258807 (0.1524307346825056),0.5475553285057951 (0.25457757212819465),0.11281059409322386 (0.06525602025210134)
TRAIN013,0.15183863361986974 (0.11057982864879067),0.3643238056666003 (0.23604020505596943),0.2954478328765342 (0.11760379433223743)
TRAIN015,nan (nan),0.7242820225609466 (0.20112663851334178),0.5815788106549353 (0.11628348138710137)
TRAIN028,nan (nan),0.7872412587915149 (0.10412592522485162),0.5999227951873433 (0.1666519055996676)
TRAIN029,0.6592297045623555 (0.12204399654479152),0.8650138477484385 (0.0709379454274888),nan (nan)
TRAIN032,0.5915833253945623 (0.15079865268719542),0.7690239645102445 (0.1693620665904867),nan (nan)
TRAIN041,0.36297089358170825 (0.25678820579423545),nan (nan),nan (nan)
TRAIN046,0.4743997022095654 (0.17403179068805025),0.4160422086715698 (0.17031436577117479),0.7126327101705652 (0.1672585409642423)
TRAIN049,nan (nan),0.4034218849908364 (0.25002644549815306),0.3927787935425495 (0.16762372642570803)
TRAIN050,0.12323179045012472 (0.15260536155230675),nan (nan),0.30322138691024686 (0.20383918143850305)
TRAIN051,0.1649040551095897 (0.12191136027956835),0.30123563314026053 (0.29310086106057326),nan (nan)
TRAIN056,0.3992874092525906 (0.33746929996448843),nan (nan),nan (nan)
