Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.0 (0.0),0.0 (0.0),0.0234375 (0.1518828677363284)
TRAIN010,0.0 (0.0),0.015625 (0.12450690143095285),0.0 (0.0)
TRAIN011,0.11702127659574468 (0.32316921825641187),0.06896551724137931 (0.25486446230486964),0.0 (0.0)
TRAIN013,0.021739130434782608 (0.14662959759729016),0.23809523809523808 (0.42933879074109177),0.0 (0.0)
TRAIN015,0.0 (0.0),0.0 (0.0),0.0 (0.0)
TRAIN028,0.061224489795918366 (0.24222607082590245),0.6 (0.4970501217477084),0.23684210526315788 (0.4308514841827461)
TRAIN029,0.0625 (0.24593468841898236),0.2558139534883721 (0.44148144844882664),0.2857142857142857 (0.4564354645876384)
TRAIN032,nan (nan),0.0 (0.0),0.061224489795918366 (0.24222607082590245)
TRAIN041,0.0 (0.0),0.20408163265306123 (0.4072055089639778),0.10204081632653061 (0.3058388709205983)
TRAIN046,0.0 (0.0),0.10869565217391304 (0.31469638768997776),0.0 (0.0)
TRAIN049,0.2890625 (0.45510825483839257),0.01834862385321101 (0.1348285177101028),0.08080808080808081 (0.27392713453777273)
TRAIN050,0.26373626373626374 (0.44309930753387133),0.0 (0.0),0.0 (0.0)
TRAIN051,0.4050632911392405 (0.49404108989736695),0.0 (0.0),0.0078125 (0.08838834764831843)
TRAIN056,0.9459459459459459 (0.22924343513512563),0.0 (0.0),0.0 (0.0)
