Device,PSNR,SSIM,MSE
Cirrus,20.535902777777775 (0.4081782156580568),0.16512103174603177 (0.02919583622725904),0.008878093833724657 (0.0008329558865497799)
Spectralis,24.638778723404258 (1.0279339133984278),0.49090212765957447 (0.06558490122702017),0.0035348029846840718 (0.0008631219682918552)
T-1000,21.558432539682542 (0.8696962785621882),0.1743809523809524 (0.026439393867737224),0.0071638948579747525 (0.0021148604151063253)
T-2000,22.457535031847133 (0.692741601814025),0.25654777070063695 (0.04344030399282199),0.005758218824638018 (0.0010665479471148808)
