Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.5077951002227171 (0.5004968895945267),0.7783018867924528 (0.41587976007827954),0.7350427350427351 (0.4417826918044009)
Spectralis,0.9357142857142857 (0.24614186368969665),0.824468085106383 (0.38143723987040107),0.85 (0.3579674615346874)
Topcon,0.9373134328358209 (0.2427609534246425),0.8968058968058968 (0.30458664417125486),0.912 (0.28367338302226053)
