Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.7005649717514124 (0.4586588621812126),0.84375 (0.3636090461767123),0.3866995073891626 (0.4875946944178621)
Spectralis,0.5984251968503937 (0.4921582291648522),0.6234567901234568 (0.4860211392632534),0.075 (0.2640523018086612)
Topcon,0.8697674418604651 (0.33695114827935224),0.9171717171717172 (0.27590132163408354),0.5343228200371057 (0.49928392558187673)
