Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.37850467289719625 (0.48558191505763504),0.19961612284069097 (0.4000959577799578),0.02702702702702703 (0.16231891634295048)
Spectralis,0.13953488372093023 (0.3478547210787058),0.40119760479041916 (0.4916149957950975),0.4270833333333333 (0.4959478030858584)
Topcon,0.48509485094850946 (0.5004563723770166),0.6273684210526316 (0.48401496499843716),0.1130820399113082 (0.31704474259960813)
