Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.576017130620985 (0.4947175720557757),0.8272921108742004 (0.3783981673263223),0.6803921568627451 (0.4667824943069412)
Spectralis,0.53125 (0.500589275396017),0.8756756756756757 (0.33084657994221345),0.844311377245509 (0.3636503004458499)
Topcon,0.8057553956834532 (0.3960932626506171),0.8815489749430524 (0.3235100963081839),0.8627450980392157 (0.34459922089976286)
