Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6265779987257412 (0.19491466430040733),0.8149700019539905 (0.13267716118982636),0.5902538505367568 (0.28518765084685915)
Spectralis,0.7048496314934616 (0.22352162046586244),0.8077477640830554 (0.20277517570955456),0.6456296763268633 (0.28812812408114685)
Topcon,0.563376672513835 (0.20708217270921697),0.48927642646673564 (0.24685812737258284),0.5208105841865305 (0.20657016013722274)
