Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6543278167542966 (0.19509558983041506),0.7986582116223871 (0.15592985943679125),0.7666270409552556 (0.1972964635658358)
Spectralis,0.6449194322261265 (0.2384605557990908),0.6871800853545407 (0.32239494713233163),0.7028833369414011 (0.20866635720853743)
Topcon,0.6244048053519928 (0.2775634429463625),0.7435021577862861 (0.2293305971290903),0.5884682274348026 (0.20428465042023883)
