Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.6736953262006864 (0.4034172349942022),0.65625 (0.47682513013096256),0.375 (0.4860251767562508)
TRAIN005,0.0625 (0.24301258837812542),0.6012866159435362 (0.4037310430871854),0.5645538730314001 (0.417388833129297)
TRAIN006,0.3244957013084786 (0.39146923970528175),0.78125 (0.41502300476984266),0.6875 (0.4653336792785003)
TRAIN009,0.26123000064399093 (0.3649736032622014),0.8125 (0.39184602471712554),0.3594451369717717 (0.45694406715786234)
TRAIN020,0.16948259500350105 (0.26650285760695375),0.6535414045210928 (0.23214402896719294),0.19323156378231943 (0.2611830752482685)
TRAIN030,0.47018410755815554 (0.4351766110052462),0.8452101866809689 (0.3013342834460973),0.6826038062572479 (0.3272294529021387)
TRAIN036,0.34189869326596356 (0.36971859626991566),0.9795918367346939 (0.14285714285714285),0.9795918367346939 (0.14285714285714285)
TRAIN038,0.2857142857142857 (0.4564354645876384),0.7749100169356988 (0.2800255717366851),0.5288307498807886 (0.3325443561256483)
TRAIN045,0.4567474680287497 (0.4230121618163789),0.5510204081632653 (0.5025445456953673),0.5926668021675884 (0.45048851080222635)
TRAIN047,0.6560631610301076 (0.3499087990876094),0.7755102040816326 (0.42156979070537565),0.8163265306122449 (0.39123039821797584)
TRAIN055,0.8522638771682978 (0.34778582215780524),0.84375 (0.36451888256718806),0.793164276808966 (0.2932985683252063)
TRAIN058,0.6328125 (0.4839322811674229),0.6953125 (0.4620835004815934),0.6907460816437379 (0.40075897091022944)
TRAIN061,0.6723793711862527 (0.3619501809615025),0.7253775447170483 (0.29834018991551803),0.6169016497442499 (0.3647829891326967)
TRAIN066,0.7117160698398948 (0.393701332533289),0.9921875 (0.08838834764831843),0.8828125 (0.3229074060986924)
