Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6589197951275856 (0.23447775762453799),0.5811551031382645 (0.3299019895855524),0.5807247751027994 (0.19930050601869648)
Spectralis,0.6314199791301655 (0.19086285915441367),0.9069786096205477 (0.1311632019336616),0.6682644124936175 (0.16515776293353732)
Topcon,0.5461579932218389 (0.21097146808866069),0.6957720662825383 (0.1910310932532237),0.6907844233544583 (0.12365242538269129)
