Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.26618121629741515 (0.3437456330152903),0.47830413987489734 (0.23575177587409432),0.48074432306994613 (0.32625717451871306)
Spectralis,0.5578965906711185 (0.2726654585701597),0.8832834020256997 (0.16178922910431937),0.6389720256750783 (0.2668289577368679)
Topcon,0.5342046307890038 (0.2621880651428261),0.3344280620501058 (0.29849207657393106),0.6126715011173679 (0.2200140307204125)
