Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.688448606878519 (0.20019622811456217),0.6548802861396004 (0.27300773433484726),0.4648374248215038 (0.2478126683498656)
Spectralis,0.6223210005820552 (0.1957974535356109),0.8802599286446806 (0.15287520717651557),0.45004067064067466 (0.23102970348853746)
Topcon,0.5022612428485652 (0.2207411104062967),0.6146523796786101 (0.23781502567250118),0.6281764429518358 (0.13920764454907253)
