Volume,dice_IRF
TRAIN001,0.6290077934390865 (0.31737366603453515)
TRAIN006,0.45732800575206056 (0.4283033867282348)
TRAIN009,0.7589142543074558 (0.3673505124384927)
TRAIN013,0.39973741362337023 (0.4310206041283914)
TRAIN024,0.84375 (0.3645188825671883)
TRAIN028,0.6938775510204082 (0.46565731465733207)
TRAIN031,0.7959183673469388 (0.4072055089639779)
TRAIN032,0.6837015726736614 (0.1202759510613813)
TRAIN038,0.4489795918367347 (0.5025445456953674)
TRAIN041,0.5950245419327094 (0.485659973703585)
TRAIN049,0.625 (0.48602517675625095)
TRAIN051,0.5601650986354798 (0.4131566307631494)
TRAIN053,0.5305280452594161 (0.32240340323518984)
TRAIN065,0.635780018492369 (0.42581714575952906)
