Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.23346498460601528 (0.19154399754405838),0.2000344839535602 (0.18632968685533585),0.28310534509702934 (0.23800226930885937)
Spectralis,0.5713584265538625 (0.18086801197641497),0.7606198433459851 (0.15753440884312017),0.5631575123830275 (0.23412285206586625)
Topcon,0.17699480630391468 (0.17969456367191336),0.4951600421492646 (0.2625158496393598),0.33246831509144337 (0.1481983099851043)
