Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6381156316916489 (0.48106092909516884),0.673773987206823 (0.46933172175805926),0.7529411764705882 (0.431724709080721)
Spectralis,0.4625 (0.5001572079900504),0.7675675675675676 (0.42352945976666917),0.7664670658682635 (0.4243507838619255)
Topcon,0.7793764988009593 (0.4151651602817253),0.8223234624145785 (0.3826763182372049),0.8711484593837535 (0.33550577755726557)
