Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.5903312392707448 (0.4400965609578244),0.2651205946125629 (0.43246045722216403),0.6660728849994484 (0.44361103553433545)
Spectralis,0.29551784276049964 (0.3575843794184002),0.371563870687874 (0.4564655370047387),0.49815524325050337 (0.40633964293673575)
Topcon,0.6868108744245547 (0.41731396607845095),0.6826930892537348 (0.41901589560425706),0.5554407495772467 (0.4359709869919281)
