Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.5003179064224241 (0.39338715932924045),0.6026376917725429 (0.46934051273905303),0.5546875 (0.4989531363599838)
TRAIN017,0.43114440771751106 (0.4233799413800235),0.3828125 (0.48798305362985833),0.7436172366142273 (0.3002926716981335)
TRAIN019,0.4638307971181348 (0.4453303105236021),0.75 (0.43471413360133104),0.765625 (0.42527202966171973)
TRAIN021,0.7334021308925003 (0.345237086530373),0.856159612259944 (0.3107283617007782),0.7578125 (0.4300905187640256)
TRAIN023,0.7421875 (0.439149029463507),0.640625 (0.48170260698360673),0.63246243679896 (0.4471878077524738)
TRAIN025,0.5283090721587745 (0.3541107172827379),0.3877551020408163 (0.4922874554317936),0.6408626829483071 (0.32236054631504624)
TRAIN031,0.5918367346938775 (0.49658699082414787),0.6938775510204082 (0.465657314657332),0.7448695618279126 (0.3670031228641907)
TRAIN035,0.24489795918367346 (0.43448303787844417),0.886768597729352 (0.12328597973281835),0.5855706869339456 (0.29554417027399793)
TRAIN037,0.5484371437710158 (0.16306953481365327),0.4950429900568359 (0.44693890371315215),0.32653061224489793 (0.4738035414793428)
TRAIN053,0.2953558665140008 (0.2534033583412751),0.3094991858379217 (0.2889554747293275),0.5346054823603481 (0.3416223278337731)
TRAIN057,0.21875 (0.4150230047698428),0.5652765472768806 (0.3520454968093658),0.5839216678868979 (0.2961366070598566)
TRAIN060,0.4633448973763734 (0.4351219880833081),0.53125 (0.5009832851188789),0.3046875 (0.4620835004815935)
TRAIN065,0.8208414640976116 (0.3060385157376295),0.734375 (0.443400869088753),0.375 (0.4860251767562509)
TRAIN070,0.2633499369258061 (0.39137354328100243),0.7890625 (0.4095771537596912),0.40625 (0.49306210178888477)
