Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.2331756796884102 (0.21407517199442536),0.14380154677740023 (0.16303747390438939),0.1938267757391576 (0.1788430285243964)
Spectralis,0.5705708799440237 (0.2159933984899856),0.7769218715920783 (0.16434765062306303),0.32372040166096255 (0.2153468568482705)
Topcon,0.07068461641170645 (0.12841176766138118),0.32387470737917395 (0.26956435922813776),0.2958371789252054 (0.20929319819327974)
