slice,dice_Background,dice_IRF,dice_SRF,dice_PED,voxels_Background,voxels_IRF,voxels_SRF,voxels_PED,union_Background,union_IRF,union_SRF,union_PED,intersection_Background,intersection_IRF,intersection_SRF,intersection_PED
Cirrus_TRAIN008_000.tiff,0.9986286163330078,0.0,1.0,0.0,524288,0,0,0,1047140,1418,0,18,522852,0,0,0
Cirrus_TRAIN008_001.tiff,0.9977414011955261,0.0,0.0,0.0,524288,0,0,0,1046213,2194,167,2,521925,0,0,0
Cirrus_TRAIN008_002.tiff,0.9979798793792725,0.0,0.0,0.0,524288,0,0,0,1046462,1785,258,71,522174,0,0,0
Cirrus_TRAIN008_003.tiff,0.9982708692550659,0.0,0.0,0.0,524288,0,0,0,1046766,1661,39,110,522478,0,0,0
Cirrus_TRAIN008_004.tiff,0.9985665082931519,0.0,0.0,0.0,524288,0,0,0,1047075,1355,71,75,522787,0,0,0
Cirrus_TRAIN008_005.tiff,0.9976130127906799,0.0,0.0,0.0,524288,0,0,0,1046079,1906,68,523,521791,0,0,0
Cirrus_TRAIN008_006.tiff,0.9976927042007446,0.38654395937919617,0.0,0.0,523645,643,0,0,1044947,3151,369,109,521268,609,0,0
Cirrus_TRAIN008_007.tiff,0.9962530732154846,0.29830509424209595,0.0,0.0,523569,719,0,0,1043259,4720,394,203,519675,704,0,0
Cirrus_TRAIN008_008.tiff,0.9965085387229919,0.17434817552566528,0.0,0.0,523820,468,0,0,1044268,3797,329,182,520311,331,0,0
Cirrus_TRAIN008_009.tiff,0.997316837310791,0.0,0.0,0.0,524288,0,0,0,1045770,2692,25,89,521482,0,0,0
Cirrus_TRAIN008_010.tiff,0.9970386624336243,0.0,0.0,0.0,524288,0,0,0,1045480,2950,39,107,521192,0,0,0
Cirrus_TRAIN008_011.tiff,0.9978687763214111,0.0,0.0,0.0,524288,0,0,0,1046346,2216,10,4,522058,0,0,0
Cirrus_TRAIN008_012.tiff,0.9982708692550659,0.0,1.0,0.0,524288,0,0,0,1046766,1539,0,271,522478,0,0,0
Cirrus_TRAIN008_013.tiff,0.9988275170326233,0.0,1.0,0.0,524288,0,0,0,1047348,1144,0,84,523060,0,0,0
Cirrus_TRAIN008_014.tiff,0.9992918968200684,0.0,0.0,0.0,524288,0,0,0,1047834,677,53,12,523546,0,0,0
Cirrus_TRAIN008_015.tiff,0.9994255304336548,0.0,0.0,1.0,524288,0,0,0,1047974,572,30,0,523686,0,0,0
Cirrus_TRAIN008_016.tiff,0.9985148310661316,0.0,0.0,0.0,524288,0,0,0,1047021,1531,22,2,522733,0,0,0
Cirrus_TRAIN008_017.tiff,0.9995095729827881,0.0,1.0,0.0,524288,0,0,0,1048062,513,0,1,523774,0,0,0
Cirrus_TRAIN008_018.tiff,0.999653697013855,0.0,1.0,1.0,524288,0,0,0,1048213,363,0,0,523925,0,0,0
Cirrus_TRAIN008_019.tiff,0.9996784925460815,0.0,0.0,1.0,524288,0,0,0,1048239,328,9,0,523951,0,0,0
Cirrus_TRAIN008_020.tiff,0.9999866485595703,0.0,1.0,1.0,524288,0,0,0,1048562,14,0,0,524274,0,0,0
Cirrus_TRAIN008_021.tiff,0.9999351501464844,0.0,1.0,1.0,524288,0,0,0,1048508,68,0,0,524220,0,0,0
Cirrus_TRAIN008_022.tiff,0.9998006224632263,0.0,1.0,1.0,524199,89,0,0,1048367,209,0,0,524079,0,0,0
Cirrus_TRAIN008_023.tiff,0.9996737241744995,0.03932584449648857,1.0,1.0,524054,234,0,0,1048220,356,0,0,523939,7,0,0
Cirrus_TRAIN008_024.tiff,0.9995228052139282,0.37191158533096313,0.0,1.0,524136,152,0,0,1047790,769,17,0,523645,143,0,0
Cirrus_TRAIN008_025.tiff,0.999934196472168,0.0,0.0,0.0,524288,0,0,0,1048507,31,23,15,524219,0,0,0
Cirrus_TRAIN008_026.tiff,0.9992837905883789,0.4722617268562317,1.0,0.0,523720,568,0,0,1047162,1406,0,8,523206,332,0,0
Cirrus_TRAIN008_027.tiff,0.9997471570968628,0.5076586604118347,1.0,0.0,524136,152,0,0,1048079,457,0,40,523907,116,0,0
Cirrus_TRAIN008_028.tiff,0.999363899230957,0.5838926434516907,1.0,0.0,523687,601,0,0,1047040,1490,0,46,523187,435,0,0
Cirrus_TRAIN008_029.tiff,0.9993637800216675,0.6185566782951355,1.0,1.0,523706,582,0,0,1046830,1746,0,0,523082,540,0,0
Cirrus_TRAIN008_030.tiff,0.9996476173400879,0.7288758158683777,1.0,1.0,523672,616,0,0,1047215,1361,0,0,523423,496,0,0
Cirrus_TRAIN008_031.tiff,0.9984647035598755,0.36835891008377075,0.0,1.0,523235,1053,0,0,1046034,2541,1,0,522214,468,0,0
Cirrus_TRAIN008_032.tiff,0.9994456171989441,0.0,0.0,1.0,524288,0,0,0,1047995,580,1,0,523707,0,0,0
Cirrus_TRAIN008_033.tiff,0.9994280934333801,0.4795829653739929,1.0,1.0,523939,349,0,0,1047425,1151,0,0,523413,276,0,0
Cirrus_TRAIN008_034.tiff,0.999495267868042,0.0,1.0,0.0,524288,0,0,0,1048047,486,0,43,523759,0,0,0
Cirrus_TRAIN008_035.tiff,0.9983086585998535,0.14739884436130524,1.0,1.0,524135,153,0,0,1046500,2076,0,0,522365,153,0,0
Cirrus_TRAIN008_036.tiff,0.9993323683738708,0.5987260937690735,0.0,0.0,523742,546,0,0,1047031,1413,23,109,523166,423,0,0
Cirrus_TRAIN008_037.tiff,0.9997203946113586,0.5913528800010681,1.0,1.0,523998,290,0,0,1047859,717,0,0,523783,212,0,0
Cirrus_TRAIN008_038.tiff,0.9991632103919983,0.4815695583820343,1.0,0.0,523881,407,0,0,1046890,1682,0,4,523007,405,0,0
Cirrus_TRAIN008_039.tiff,0.9992330074310303,0.5142166018486023,1.0,1.0,523555,733,0,0,1046923,1653,0,0,523060,425,0,0
Cirrus_TRAIN008_040.tiff,0.9986381530761719,0.3496120572090149,1.0,1.0,523905,383,0,0,1046385,2191,0,0,522480,383,0,0
Cirrus_TRAIN008_041.tiff,0.9982398152351379,0.12618595361709595,1.0,1.0,524150,138,0,0,1046468,2108,0,0,522313,133,0,0
Cirrus_TRAIN008_042.tiff,0.9993768334388733,0.0,1.0,0.0,524288,0,0,0,1047923,603,0,50,523635,0,0,0
Cirrus_TRAIN008_043.tiff,0.9989221692085266,0.0,1.0,0.0,524288,0,0,0,1047447,1120,0,9,523159,0,0,0
Cirrus_TRAIN008_044.tiff,0.9990803003311157,0.6311349868774414,1.0,1.0,523401,887,0,0,1045968,2608,0,0,522503,823,0,0
Cirrus_TRAIN008_045.tiff,0.9993122220039368,0.7734005451202393,1.0,1.0,522943,1345,0,0,1045403,3173,0,0,522342,1227,0,0
Cirrus_TRAIN008_046.tiff,0.9981431365013123,0.7897603511810303,1.0,0.0,520181,4107,0,0,1039390,9180,0,6,518730,3625,0,0
Cirrus_TRAIN008_047.tiff,0.9977803230285645,0.7912247180938721,1.0,1.0,519374,4914,0,0,1037545,11031,0,0,517621,4364,0,0
Cirrus_TRAIN008_048.tiff,0.9962738156318665,0.7933225631713867,1.0,1.0,516101,8187,0,0,1030006,18570,0,0,513084,7366,0,0
Cirrus_TRAIN008_049.tiff,0.9954909682273865,0.7926164269447327,0.0,0.0,514667,9621,0,0,1026165,22374,25,12,510769,8867,0,0
Cirrus_TRAIN008_050.tiff,0.9929821491241455,0.754841148853302,1.0,0.0,512746,11542,0,0,1019398,29177,0,1,506122,11012,0,0
Cirrus_TRAIN008_051.tiff,0.9937865734100342,0.8348544239997864,1.0,1.0,507047,17241,0,0,1010555,38021,0,0,502138,15871,0,0
Cirrus_TRAIN008_052.tiff,0.9927260279655457,0.8433068990707397,0.0,0.0,503104,21184,0,0,1000963,47392,83,138,496841,19983,0,0
Cirrus_TRAIN008_053.tiff,0.9928584098815918,0.8600613474845886,0.0,0.0,501564,22724,0,0,998233,50222,111,10,495552,21597,0,0
Cirrus_TRAIN008_054.tiff,0.989984393119812,0.8137330412864685,0.0,0.0,498716,25572,0,0,994749,53273,538,16,492393,21675,0,0
Cirrus_TRAIN008_055.tiff,0.989861249923706,0.8260411024093628,0.0,0.0,497149,27139,0,0,992038,55927,554,57,490990,23099,0,0
Cirrus_TRAIN008_056.tiff,0.98887699842453,0.843705952167511,0.0,0.0,494261,30027,0,0,981568,66023,871,114,485325,27852,0,0
Cirrus_TRAIN008_057.tiff,0.9906426072120667,0.8634915351867676,0.689039409160614,0.0,493778,28780,1730,0,983073,62150,3248,105,486937,26833,1119,0
Cirrus_TRAIN008_058.tiff,0.9892735481262207,0.8561419248580933,0.6256463527679443,0.0,492688,29550,2050,0,978981,65655,3868,72,484240,28105,1210,0
Cirrus_TRAIN008_059.tiff,0.9879019260406494,0.8289116024971008,0.4855116605758667,0.0,490321,30786,3181,0,976190,67281,4935,170,482190,27885,1198,0
Cirrus_TRAIN008_060.tiff,0.987025260925293,0.8431135416030884,0.26070624589920044,0.0,488550,31577,4161,0,976820,66188,5324,244,482073,27902,694,0
Cirrus_TRAIN008_061.tiff,0.9891076683998108,0.8430193662643433,0.1648528128862381,0.0,487302,32390,4596,0,972610,70015,5605,346,481008,29512,462,0
Cirrus_TRAIN008_062.tiff,0.9893792271614075,0.8276041746139526,0.08682908862829208,0.0,492559,26536,5193,0,985426,57658,5459,33,487480,23859,237,0
Cirrus_TRAIN008_063.tiff,0.9840729236602783,0.7442638278007507,0.13420912623405457,0.0,493961,25164,5163,0,980970,60973,5633,1000,482673,22690,378,0
Cirrus_TRAIN008_064.tiff,0.9886153936386108,0.8178786635398865,0.17512059211730957,0.0,492347,25815,6126,0,982204,59378,6841,153,485511,24282,599,0
Cirrus_TRAIN008_065.tiff,0.9876918196678162,0.8042894601821899,0.37228748202323914,0.0,491805,28698,3785,0,980407,62945,5023,201,484170,25313,935,0
Cirrus_TRAIN008_066.tiff,0.9894714951515198,0.8162282109260559,0.41747573018074036,0.0,498290,23322,2676,0,991594,52723,3914,345,490577,21517,817,0
Cirrus_TRAIN008_067.tiff,0.987923800945282,0.8179435133934021,0.4302416145801544,0.0,494194,27974,2120,0,981353,63332,3849,42,484751,25901,828,0
Cirrus_TRAIN008_068.tiff,0.9881001114845276,0.8035575151443481,0.5324417948722839,0.0,495823,26878,1587,0,986060,57681,4038,797,487163,23175,1075,0
