Volume,dice_IRF,dice_SRF,dice_PED
TRAIN004,0.7646798981586471 (0.35468376989129125),0.8354084172751755 (0.11765586682957624),0.568566856905818 (0.369733785819471)
TRAIN007,0.748093429254368 (0.26559552559088156),0.9375 (0.2430125883781254),0.8828125 (0.3229074060986924)
TRAIN018,0.8766995957121253 (0.3241051667373341),0.9609375 (0.1945049743306584),0.9921875 (0.08838834764831843)
TRAIN022,0.6913548302836716 (0.24239975480213982),0.90625 (0.2926259066792319),0.875 (0.3320184038158742)
TRAIN024,0.96875 (0.1746763035549529),0.53125 (0.500983285118879),0.2552888147474732 (0.37581775991400446)
TRAIN026,0.939966229759917 (0.15651807010225346),0.8979591836734694 (0.3058388709205983),0.8979591836734694 (0.3058388709205983)
TRAIN034,0.6845015859117314 (0.36350737786175696),1.0 (0.0),1.0 (0.0)
TRAIN040,0.7487253291266305 (0.29430530865515053),0.7731728973437328 (0.3896472268449152),0.5102040816326531 (0.5050762722761055)
TRAIN043,0.7616695189962581 (0.336895309454019),0.853127738346859 (0.2503510256178642),0.8129084050199207 (0.2766522535329387)
TRAIN044,0.75889753261391 (0.2958701240385216),0.7596575547845996 (0.30152202529559724),0.5455956532030689 (0.3750224175212405)
TRAIN052,0.625850403594086 (0.44243057578069694),0.9305689635220915 (0.20728243703510782),0.9375 (0.2430125883781254)
TRAIN054,0.8154315955471247 (0.29473795062992425),0.9789208993315697 (0.11977697409505363),0.90625 (0.2926259066792318)
TRAIN059,0.6994507182389498 (0.28913417574577954),0.9143909036647528 (0.2417728704809584),0.96875 (0.1746763035549529)
TRAIN069,0.9921875 (0.08838834764831843),0.8728693183511496 (0.3320850053133592),0.7162533642840572 (0.3211282667688939)
