Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.2026726057906459 (0.4024389729496573),0.02358490566037736 (0.15193123167066433),0.04700854700854701 (0.2118836291544627)
Spectralis,0.12142857142857143 (0.32779747087433964),0.48936170212765956 (0.5012216274352614),0.6417910447761194 (0.4806711725487632)
Topcon,0.005970149253731343 (0.07715098544650531),0.002457002457002457 (0.04956815970966098),0.09866666666666667 (0.2986123581894393)
