Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.7694395826663822 (0.3553911894553145),0.8803401947952807 (0.2627650882195555),0.8107193811330944 (0.3513938886367224)
Spectralis,0.8084286926352248 (0.30824883135228004),0.9169599715544253 (0.23678745991204267),0.8332208722829819 (0.30170338162928634)
Topcon,0.7935011423542164 (0.36257096608196854),0.927865881472826 (0.2074050455498103),0.8621675657341257 (0.26475164022400455)
