Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.3170731707317073 (0.47111699132189566),0.9915254237288136 (0.09205746178983233),0.9140625 (0.28137300459805203)
TRAIN010,0.7553191489361702 (0.4322029146296004),0.9453125 (0.22826265262341355),0.8671875 (0.34070546889569164)
TRAIN011,0.6382978723404256 (0.483069572001046),0.4827586206896552 (0.502599497624131),0.2830188679245283 (0.45260551479358196)
TRAIN013,0.717391304347826 (0.4527349601029049),0.8888888888888888 (0.31679397554099425),0.9193548387096774 (0.27451221100817447)
TRAIN015,0.203125 (0.40390563722177436),1.0 (0.0),0.8636363636363636 (0.34714175717877416)
TRAIN028,0.8163265306122449 (0.3912303982179758),1.0 (0.0),0.868421052631579 (0.3425699874501044)
TRAIN029,0.78125 (0.4200134406451544),0.8837209302325582 (0.3243530062242882),0.9591836734693877 (0.199914947901746)
TRAIN032,nan (nan),0.9333333333333333 (0.2581988897471611),0.6938775510204082 (0.465657314657332)
TRAIN041,0.8478260869565217 (0.36315844747302045),0.9591836734693877 (0.199914947901746),0.9795918367346939 (0.14285714285714285)
TRAIN046,0.8461538461538461 (0.3755338080994054),0.5869565217391305 (0.4978213403988641),0.7333333333333333 (0.45773770821706344)
TRAIN049,0.9140625 (0.2813730045980521),0.944954128440367 (0.22912322357199058),0.8585858585858586 (0.3502215336827857)
TRAIN050,0.945054945054945 (0.22913544575873132),0.96875 (0.17467630355495292),1.0 (0.0)
TRAIN051,0.7974683544303798 (0.4044542646466311),0.9905660377358491 (0.09712858623572641),0.984375 (0.12450690143095283)
TRAIN056,0.972972972972973 (0.1643989873053573),0.71875 (0.4531634835874829),0.796875 (0.4055052697678833)
