Volume,dice_IRF
TRAIN003,0.5696068205482637 (0.2273657314539185)
TRAIN005,nan (nan)
TRAIN007,0.6097130978107452 (0.15553192796164245)
TRAIN015,nan (nan)
TRAIN022,0.6907664368447569 (0.10169038908100467)
TRAIN026,0.7993981242179871 (0.06163868633551035)
TRAIN036,0.625022647821385 (0.22763422544682782)
TRAIN043,0.6811005191670524 (0.15569892338509683)
TRAIN044,0.6456560455262661 (0.16089160075674938)
TRAIN054,0.5945269971301681 (0.10994273201811006)
TRAIN056,0.6440927960254528 (0.32830796823579933)
TRAIN057,nan (nan)
TRAIN066,0.7765307057844965 (0.16969154914161313)
TRAIN069,nan (nan)
