Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.8429876242298633 (0.28149390452402917),0.640625 (0.4817026069836068),0.90625 (0.2926259066792319)
TRAIN005,0.703125 (0.45867620198536196),0.6567144042346627 (0.38343043687689193),0.7060247529298067 (0.38370243857199327)
TRAIN006,0.589570586103946 (0.4277533176401614),0.734375 (0.443400869088753),0.90625 (0.29262590667923183)
TRAIN009,0.7836787424967042 (0.34766814252107825),0.8671875 (0.3407054688956916),0.63743269094266 (0.4555621976726193)
TRAIN020,0.32646179908988415 (0.3889887914960807),0.6903514747973531 (0.25768548994192175),0.19722609940799884 (0.2712522241596065)
TRAIN030,0.6904000676408106 (0.3954464740323355),0.9017097037665698 (0.243001355849101),0.7212675418704748 (0.33302727625823864)
TRAIN036,0.5944488346576691 (0.3871107282411636),0.9795918367346939 (0.14285714285714285),0.8163265306122449 (0.39123039821797584)
TRAIN038,0.5918367346938775 (0.4965869908241478),0.8481375669338265 (0.19300230867364146),0.7273000405759228 (0.24998813898934025)
TRAIN045,0.691137300462139 (0.3865328644847471),0.6938775510204082 (0.46565731465733207),0.6571982628760897 (0.431898500512853)
TRAIN047,0.6966289622443063 (0.339945893233524),0.9387755102040817 (0.24222607082590247),0.8775510204081632 (0.33120066055341796)
TRAIN055,0.9007777215447277 (0.2876319541777616),0.796875 (0.4039056372217744),0.8283246975333896 (0.25758847063853957)
TRAIN058,0.8203125 (0.3854355088676483),0.796875 (0.40390563722177436),0.7979384358040988 (0.3257380884111831)
TRAIN061,0.7027353676385246 (0.35057154016778547),0.7192616222891957 (0.29945346559379343),0.6809361360501498 (0.33990103574421876)
TRAIN066,0.8877350043039769 (0.22650145892066773),0.984375 (0.12450690143095285),0.859375 (0.34900025945887525)
