Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6573875802997858 (0.4750920688905186),0.8528784648187633 (0.3546052761371507),0.703921568627451 (0.45697423945559723)
Spectralis,0.7125 (0.45401770391879887),0.8432432432432433 (0.36455790717672887),0.8323353293413174 (0.3746917546106856)
Topcon,0.7529976019184652 (0.43178618561782345),0.8792710706150342 (0.32618371277673347),0.7927170868347339 (0.40592889877280874)
