vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.61 (0.25),0.71 (0.15),0.59 (0.29)
Spectralis,0.68 (0.20),0.75 (0.17),0.64 (0.17)
Topcon,0.66 (0.21),0.81 (0.08),0.65 (0.18)
