Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.4089935760171306 (0.4921753128563573),0.2302771855010661 (0.42145977483912545),0.4470588235294118 (0.49767749049832627)
Spectralis,0.33125 (0.47214051580717636),0.6864864864864865 (0.4651800505567254),0.688622754491018 (0.464449299718747)
Topcon,0.12949640287769784 (0.3361518452842274),0.9020501138952164 (0.29758600651377765),0.6974789915966386 (0.45999429372510114)
