vendor,dice_class_0,dice_class_1,dice_class_2,dice_class_3,total_dice
Cirrus,0.9692640900611877,0.4806150496006012,0.2834743857383728,0.405405730009079,0.9598381957853503
Spectralis,0.9872233867645264,0.674801230430603,0.7502198815345764,0.5140236020088196,0.9742368098192369
Topcon,0.9895132184028625,0.4527584910392761,0.5431724786758423,0.4357708990573883,0.9861467164202037
