vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.47 (0.12),0.80 (0.03),0.69 (0.04)
Spectralis,0.85 (0.17),0.84 (0.03),0.84 (0.04)
Topcon,0.86 (0.09),0.91 (0.02),0.86 (0.05)
