Volume,dice_IRF,dice_SRF,dice_PED
D2S1,nan (nan),0.2692895978689194 (0.053536880719699975),nan (nan)
D3S1,nan (nan),0.4828186233838399 (0.22153004299365542),0.02253086492419243 (0.03186345474778919)
D4S1,0.6826856434345245 (0.2118694466273499),nan (nan),nan (nan)
D4S2,0.6789734214544296 (0.25729901620104195),0.35123832523822784 (0.1945600858346514),nan (nan)
D5S2,nan (nan),0.7388701163805448 (0.06767865438957289),nan (nan)
D5S3,nan (nan),0.5713401990277427 (0.1674043432632973),nan (nan)
