Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.35412026726057905 (0.4787793200308613),0.660377358490566 (0.4741406052308783),0.5555555555555556 (0.49743572762400284)
Spectralis,0.7285714285714285 (0.44629340194164824),0.723404255319149 (0.44850924359044547),0.62 (0.48660447963206216)
Topcon,0.826865671641791 (0.3789293495649922),0.7493857493857494 (0.43390013390221566),0.5626666666666666 (0.4967200799138902)
