Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.12266555766873352 (0.26503598734908107),0.1916570901114028 (0.3620585972441391),0.05484354481950504 (0.13558897444459722)
Spectralis,0.26358148359446504 (0.3289323008314418),0.5810633671527006 (0.4619273542732528),0.14581802812766056 (0.30693237084034497)
Topcon,0.3822116294704756 (0.46891637833037064),0.21205338532724585 (0.39726711875889337),0.0435412367410858 (0.12198159938979844)
