Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.32142857142857145 (0.4712514425207865),0.8245614035087719 (0.38202103530758846),0.9375 (0.24301258837812542)
TRAIN017,0.10975609756097561 (0.3145091241282065),0.328125 (0.4713755210973134),0.7413793103448276 (0.4417010510648541)
TRAIN019,0.5869565217391305 (0.49507850222322636),0.96875 (0.1746763035549529),0.9609375 (0.1945049743306584)
TRAIN021,0.8780487804878049 (0.32924319888319653),0.8981481481481481 (0.30386343510333763),0.9453125 (0.22826265262341353)
TRAIN023,0.828125 (0.37875417411488527),0.3359375 (0.47417302649467324),0.9905660377358491 (0.09712858623572641)
TRAIN025,0.21052631578947367 (0.41885390829169555),0.40816326530612246 (0.49658699082414787),0.7 (0.47016234598162726)
TRAIN031,0.3877551020408163 (0.4922874554317937),0.6122448979591837 (0.4922874554317935),0.7878787878787878 (0.41514875026728054)
TRAIN035,0.40816326530612246 (0.4965869908241478),1.0 (0.0),0.5384615384615384 (0.5188745216627708)
TRAIN037,nan (nan),0.4838709677419355 (0.5080005080007621),0.4489795918367347 (0.5025445456953674)
TRAIN053,0.29411764705882354 (0.4624972900628803),0.3137254901960784 (0.4686233489032049),0.17647058823529413 (0.38695299497594743)
TRAIN057,0.421875 (0.49579928311148075),0.5102040816326531 (0.5050762722761054),0.6470588235294118 (0.48507125007266594)
TRAIN060,0.15555555555555556 (0.36446393175876635),0.34375 (0.4768251301309627),0.296875 (0.4586762019853619)
TRAIN065,0.9375 (0.24333213169614382),0.90625 (0.2926259066792318),0.9609375 (0.1945049743306584)
TRAIN070,0.6060606060606061 (0.4911083221088062),0.6640625 (0.47417302649467324),0.8828125 (0.3229074060986925)
