Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.051224944320712694 (0.22070213787389167),0.12735849056603774 (0.333767948966834),0.01282051282051282 (0.11261992820672004)
Spectralis,0.07857142857142857 (0.2700348270332813),0.2978723404255319 (0.4585442492668178),0.1890547263681592 (0.39252974663081225)
Topcon,0.5194029850746269 (0.5003707625262117),0.43734643734643736 (0.4966695339871079),0.013333333333333334 (0.11485090699593821)
