Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.08908685968819599 (0.28518683417188534),0.24056603773584906 (0.4279321441287036),0.00641025641025641 (0.07989244953067344)
Spectralis,0.06428571428571428 (0.24614186368969665),0.5159574468085106 (0.5010797307567574),0.10945273631840796 (0.31298594058675405)
Topcon,0.47761194029850745 (0.500245716725802),0.2113022113022113 (0.40873471055904675),0.0026666666666666666 (0.05163977794943224)
