Volume,dice_PED
TRAIN001,0.234375 (0.42527202966171956)
TRAIN010,0.5859375 (0.49449479110016603)
TRAIN011,0.07547169811320754 (0.26540582429993326)
TRAIN013,0.12903225806451613 (0.33797230305290277)
TRAIN015,0.25 (0.4380187953915665)
TRAIN028,0.15789473684210525 (0.36953702147663203)
TRAIN029,0.46938775510204084 (0.5042337758225566)
TRAIN032,0.04081632653061224 (0.19991494790174602)
TRAIN041,0.22448979591836735 (0.42156979070537554)
TRAIN046,0.0 (0.0)
TRAIN049,0.3333333333333333 (0.4738035414793427)
TRAIN050,0.6904761904761905 (0.4650739150008613)
TRAIN051,0.4296875 (0.49697658732223676)
TRAIN056,0.234375 (0.4269562819149833)
