Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.42857142857142855 (0.4993502271458874),0.5614035087719298 (0.4984060916561605),0.421875 (0.49579928311148075)
TRAIN017,0.036585365853658534 (0.18889685938866624),0.125 (0.3320184038158743),0.22413793103448276 (0.4206554387917955)
TRAIN019,0.31521739130434784 (0.4671481828597474),0.8125 (0.39184602471712554),0.6484375 (0.4793342454880912)
TRAIN021,0.25609756097560976 (0.43916237919774004),0.2037037037037037 (0.4046288078420603),0.203125 (0.4039056372217743)
TRAIN023,0.2578125 (0.43914902946350715),0.1640625 (0.3717874202104902),0.2830188679245283 (0.4526055147935818)
TRAIN025,0.15789473684210525 (0.3746343246326776),0.5510204081632653 (0.5025445456953674),0.35 (0.4893604849295929)
TRAIN031,0.46938775510204084 (0.5042337758225566),0.6938775510204082 (0.465657314657332),0.42424242424242425 (0.5018903659106633)
TRAIN035,0.3469387755102041 (0.4809288065886703),1.0 (0.0),0.07692307692307693 (0.2773500981126146)
TRAIN037,nan (nan),0.0967741935483871 (0.3005371535187643),0.16326530612244897 (0.3734377890799554)
TRAIN053,0.17647058823529413 (0.38695299497594743),0.29411764705882354 (0.46017899330842216),0.17647058823529413 (0.3869529949759474)
TRAIN057,0.265625 (0.4434008690887528),0.4897959183673469 (0.5050762722761054),0.29411764705882354 (0.46249729006288026)
TRAIN060,0.35555555555555557 (0.48136302521843166),0.6328125 (0.4839322811674226),0.171875 (0.37875417411488527)
TRAIN065,0.8541666666666666 (0.35479176002615403),0.9921875 (0.08838834764831843),0.8359375 (0.3717874202104902)
TRAIN070,0.6262626262626263 (0.48625722985776865),0.9296875 (0.25667755285909255),0.2734375 (0.44747487062685387)
