Volume,dice_IRF
TRAIN001,0.4878048780487805 (0.5060608273474739)
TRAIN010,0.7340425531914894 (0.444210836188132)
TRAIN011,0.6382978723404256 (0.483069572001046)
TRAIN013,0.2608695652173913 (0.44151500459590887)
TRAIN015,0.09375 (0.29262590667923194)
TRAIN028,0.7346938775510204 (0.4460712855998855)
TRAIN029,0.84375 (0.36890203262847354)
TRAIN032,nan (nan)
TRAIN041,0.6304347826086957 (0.48802074874715057)
TRAIN046,0.6153846153846154 (0.5063696835418333)
TRAIN049,0.75 (0.4347141336013311)
TRAIN050,0.8021978021978022 (0.4005490736970445)
TRAIN051,0.7468354430379747 (0.4376028649879186)
TRAIN056,1.0 (0.0)
