Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.2910691150571438 (0.3855883318041583),0.45013780786539426 (0.4204980705280724),0.28131749713938914 (0.39033261471442326)
Spectralis,0.4717813053605508 (0.3984638416996928),0.6381149466244542 (0.440515589326941),0.39359052886768264 (0.4452675049491124)
Topcon,0.5048157101014762 (0.448174436237725),0.646722297001231 (0.4603026925859788),0.5732571130086269 (0.4567669939252632)
