Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.38752783964365256 (0.48772924074865576),0.7712264150943396 (0.42053934261366793),0.7222222222222222 (0.44838250554902026)
Spectralis,0.9071428571428571 (0.2912742674344506),0.7925531914893617 (0.40656099428661546),0.76 (0.42815485856705277)
Topcon,0.8119402985074626 (0.39134436956054064),0.8476658476658476 (0.35978675456005),0.712 (0.4534360793704735)
