Volume,dice_IRF,dice_SRF,dice_PED
D2S1,0.0 (0.0),0.5287575219806872 (0.47132062677551023),0.0 (0.0)
D3S1,0.0 (0.0),0.664605797905671 (0.4067523999392234),0.004241531126593289 (0.01602732315393042)
D4S1,0.06247513309905404 (0.15271248455084546),0.631578947368421 (0.4955946277833521),0.0 (0.0)
D4S2,0.16345313073773132 (0.32321593787324226),0.4361221162896407 (0.43916068947302545),0.0 (0.0)
D5S2,0.0 (0.0),0.4775309437199643 (0.32419216178333043),0.0 (0.0)
D5S3,0.0 (0.0),0.636493234257949 (0.25117497203610323),0.0 (0.0)
