Volume,dice_IRF,dice_SRF,dice_PED
TRAIN004,0.23076923076923078 (0.42365927286816163),0.6666666666666666 (0.5),0.0 (0.0)
TRAIN007,0.22641509433962265 (0.4225157909639985),0.140625 (0.3490002594588752),0.0703125 (0.2566775528590926)
TRAIN018,0.056 (0.2308469678827191),0.09375 (0.29262590667923183),0.0078125 (0.08838834764831843)
TRAIN022,0.3225806451612903 (0.47519096331149135),0.0546875 (0.22826265262341355),0.0 (0.0)
TRAIN024,0.875 (0.3320184038158742),0.4765625 (0.50141286601435),0.04040404040404041 (0.19790700347467466)
TRAIN026,0.2702702702702703 (0.45022516889074804),0.7346938775510204 (0.4460712855998855),0.7551020408163265 (0.43448303787844433)
TRAIN034,0.1111111111111111 (0.32338083338177726),0.32653061224489793 (0.4738035414793429),0.42857142857142855 (0.5)
TRAIN040,0.13636363636363635 (0.35125008665710444),0.24390243902439024 (0.43476935292624114),0.40816326530612246 (0.4965869908241478)
TRAIN043,0.0967741935483871 (0.30053715351876426),0.20833333333333334 (0.41485111699905347),0.17391304347826086 (0.38755338788158983)
TRAIN044,0.0 (0.0),0.0 (0.0),0.0 (0.0)
TRAIN052,0.25 (0.43519413988924455),0.28695652173913044 (0.454320726639741),0.046875 (0.21220162006698987)
TRAIN054,0.4 (0.49264249635357593),0.6033057851239669 (0.49124567585841067),0.171875 (0.3787541741148854)
TRAIN059,0.5294117647058824 (0.5041008302500835),0.7256637168141593 (0.4481666544820501),0.171875 (0.3787541741148852)
TRAIN069,0.7109375 (0.45510825483839246),0.873015873015873 (0.33428435761493797),0.014925373134328358 (0.12216944435630521)
