Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.7837259100642399 (0.41214480589048663),0.5863539445628998 (0.4930124243099123),0.5882352941176471 (0.49263617040805513)
Spectralis,0.7125 (0.454017703918799),0.6594594594594595 (0.4751770033249048),0.7724550898203593 (0.4205081078339134)
Topcon,0.8896882494004796 (0.3136542509139627),0.8747152619589977 (0.33141918237619583),0.8291316526610645 (0.37692215545199187)
