Volume,dice_IRF
TRAIN003,0.7239389668684453 (0.3845061211955321)
TRAIN005,0.6640625 (0.4741730264946733)
TRAIN006,0.3972154988150578 (0.4207909444724474)
TRAIN009,0.6820190550643019 (0.4056586978791388)
TRAIN020,0.3350665757461684 (0.412539583630074)
TRAIN030,0.5202923329566054 (0.43146463219069314)
TRAIN036,0.5243160371877709 (0.4042464244645291)
TRAIN038,0.4489795918367347 (0.5025445456953673)
TRAIN045,0.5678271119083677 (0.4245250201195752)
TRAIN047,0.7402686786894895 (0.31440023064887185)
TRAIN055,0.8247273487504572 (0.3776848411559834)
TRAIN058,0.53125 (0.500983285118879)
TRAIN061,0.8440118397120386 (0.24557865725361178)
TRAIN066,0.8706016254145652 (0.26373642856719387)
