Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.24180366890504956 (0.32953756148645),0.3344652616651729 (0.4287436580822217),0.3364312021934893 (0.42908870919705283)
Spectralis,0.5512994506225294 (0.3880264870647721),0.5636792751874927 (0.44764257030891674),0.4225287278695982 (0.4443537232433346)
Topcon,0.32106034749085666 (0.39634324650094394),0.6428768109035445 (0.4654776939124893),0.40726836535759503 (0.4670737686600558)
