Volume,dice_IRF
TRAIN001,0.6373558241402966 (0.18032025680599603)
TRAIN010,0.833562627873 (0.15751119789513573)
TRAIN011,0.6551860654178787 (0.20099991071770323)
TRAIN013,0.41726839376820457 (0.21804353615468983)
TRAIN015,nan (nan)
TRAIN028,nan (nan)
TRAIN029,0.7309102608877069 (0.11625139649422636)
TRAIN032,0.658465745497723 (0.1345878373046264)
TRAIN041,0.6418018639087677 (0.35006815679248954)
TRAIN046,0.6563899566729864 (0.1673897955851211)
TRAIN049,nan (nan)
TRAIN050,0.3920599097839078 (0.23054705914744472)
TRAIN051,0.6375071607073959 (0.16557227305896738)
TRAIN056,0.6889572474691603 (0.30753352177665977)
