Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.36616702355460384 (0.4822725151926249),0.4968017057569296 (0.5005236628683015),0.1392156862745098 (0.34651134261227073)
Spectralis,0.3375 (0.47434164902525694),0.4864864864864865 (0.5011737105351896),0.3592814371257485 (0.48123281551202746)
Topcon,0.31894484412470026 (0.46662746561047497),0.765375854214123 (0.42424715212045505),0.453781512605042 (0.49855801888705187)
