Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.37038961003039506 (0.4609654392177014),0.29654688737282414 (0.39616170220900077),0.4539011906235828 (0.467938207943908)
Spectralis,0.4098824906410003 (0.4272497721326835),0.7346816494756815 (0.42035917377113324),0.6728155836843106 (0.4120205780386223)
Topcon,0.20458874985342845 (0.35977224671317926),0.8211196260344877 (0.3576667358648054),0.6718048489710782 (0.404378190057948)
