Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.6316914653612508 (0.13840678353463215),nan (nan),nan (nan)
TRAIN005,nan (nan),0.7065727347677404 (0.17146613531706467),0.8699592281196077 (0.09785998973484064)
TRAIN006,0.7107513502386271 (0.20653125456761476),nan (nan),nan (nan)
TRAIN009,0.634066678382255 (0.14826359224054939),nan (nan),0.6834271060568946 (0.13176412981210128)
TRAIN020,0.6937072283911462 (0.1727408032819379),0.849622622903051 (0.1078497308116509),0.6485057891460887 (0.21578062353580416)
TRAIN030,0.6853409033072623 (0.2192760942641266),0.9265961140394211 (0.046750244082851694),0.8152693528681993 (0.10947608640074301)
TRAIN036,0.6985829621553421 (0.19146131632906538),nan (nan),nan (nan)
TRAIN038,nan (nan),0.8780817687511444 (0.1267187376384287),0.7599042861750631 (0.20043754834554553)
TRAIN045,0.6748165864693491 (0.24864043081809148),nan (nan),0.5364348441362381 (0.21980100035061506)
TRAIN047,0.714776219179233 (0.14118859166274345),nan (nan),nan (nan)
TRAIN055,0.7338833957910538 (0.16414299677573793),nan (nan),0.7906933580675433 (0.1300945713330724)
TRAIN058,nan (nan),nan (nan),0.7061549280496204 (0.18550879201349155)
TRAIN061,0.6913126993854091 (0.1788220131807855),0.7680456344395468 (0.0998687277339558),0.7186023373219926 (0.18812889670152788)
TRAIN066,0.7551967956517872 (0.13284959584968561),nan (nan),nan (nan)
