Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.36507954748230986 (0.3604565625926171),0.6087480412679724 (0.46760341522677323),0.4609375 (0.5004304249705651)
TRAIN017,0.20289707835763693 (0.2913870943641212),0.2890625 (0.4551082548383926),0.28316592215560377 (0.28517066840781957)
TRAIN019,0.22149740089662373 (0.34285063866495824),0.7890625 (0.4095771537596912),0.671875 (0.47137552109731345)
TRAIN021,0.2347520594485104 (0.31862653894376974),0.14818093687063083 (0.34627554737019106),0.2265625 (0.42025196322970965)
TRAIN023,0.3828125 (0.48798305362985844),0.4296875 (0.4969765873222369),0.43437140568130417 (0.47679817582997325)
TRAIN025,0.4739969336256689 (0.36574975469263415),0.2857142857142857 (0.4564354645876384),0.4587214254603094 (0.34199743293642604)
TRAIN031,0.5714285714285714 (0.5),0.5510204081632653 (0.5025445456953673),0.5838777532382887 (0.4145560116792875)
TRAIN035,0.16326530612244897 (0.3734377890799553),0.8688040217574762 (0.10830488227614048),0.2468756692179916 (0.20052910313265151)
TRAIN037,0.5092349489580612 (0.2028025643915831),0.3046102986043813 (0.3951315178992308),0.0 (0.0)
TRAIN053,0.23925732746283757 (0.24309434822048576),0.4180624763612286 (0.36509228547295414),0.48444008859223686 (0.2930503149765042)
TRAIN057,0.2109375 (0.4095771537596912),0.5458507167058997 (0.3616951738508855),0.42457783315330744 (0.2650653775176762)
TRAIN060,0.3125013012140698 (0.4265823009102022),0.390625 (0.48980753089640694),0.1640625 (0.37178742021049016)
TRAIN065,0.2587838628096506 (0.37540676220813074),0.65625 (0.47682513013096256),0.546875 (0.4997538764310629)
TRAIN070,0.12041429876262555 (0.24864834411395853),0.6484375 (0.4793342454880913),0.0 (0.0)
