Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.3112800068986374 (0.17680931130899152),0.4753593065728973 (0.2575758592109872),0.19186583786847863 (0.1965889694129085)
Spectralis,0.5798245089064384 (0.20671100372028764),0.7583591579817809 (0.202435211745751),0.5948365651211649 (0.16084199996553086)
Topcon,0.17608754755603476 (0.2085286339060318),0.4400297343177167 (0.3046127865709554),0.271233073023499 (0.16450814649459924)
