Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.8152173913043478 (0.39024781718172097),0.8046875 (0.3979988080146752),0.5 (0.5019646441105269)
TRAIN005,0.7109375 (0.45510825483839257),0.7534246575342466 (0.4340001893819422),0.5652173913043478 (0.4993602044724247)
TRAIN006,0.7402597402597403 (0.44136741475237473),0.640625 (0.48170260698360684),0.453125 (0.49975387643106267)
TRAIN009,0.8571428571428571 (0.35186577527449836),0.8671875 (0.3407054688956916),0.7017543859649122 (0.45950771198095647)
TRAIN020,0.3291139240506329 (0.4728939542678912),0.16666666666666666 (0.3892494720807615),0.0 (0.0)
TRAIN030,0.7 (0.466091599699399),0.8275862068965517 (0.38442587221924474),1.0 (0.0)
TRAIN036,0.5769230769230769 (0.5038314736557788),1.0 (0.0),0.8979591836734694 (0.3058388709205983)
TRAIN038,0.5918367346938775 (0.4965869908241478),1.0 (0.0),0.6875 (0.478713553878169)
TRAIN045,0.7 (0.46609159969939895),0.5714285714285714 (0.4999999999999999),0.5833333333333334 (0.5)
TRAIN047,0.76 (0.4358898943540673),0.9183673469387755 (0.27664166758624403),0.7959183673469388 (0.4072055089639778)
TRAIN055,0.5483870967741935 (0.49967206660078184),0.890625 (0.31333549728408955),0.4393939393939394 (0.5001165365357859)
TRAIN058,0.7265625 (0.44747487062685387),0.859375 (0.34900025945887525),0.7340425531914894 (0.44421083618813206)
TRAIN061,0.7866666666666666 (0.4124197983730777),0.8363636363636363 (0.3733549777275501),0.855072463768116 (0.35460675480612985)
TRAIN066,0.8444444444444444 (0.3644639317587664),0.9921875 (0.08838834764831843),0.953125 (0.21220162006698987)
