Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.24518962129120897 (0.18705097814322597),0.11008972669951618 (0.1009823755834695),nan (nan)
TRAIN010,0.2565705780597294 (0.23259161674813678),nan (nan),nan (nan)
TRAIN011,0.38918480211321044 (0.20035137574224587),0.20771826382317557 (0.2501396239690943),0.018877942496064035 (0.050145279717592306)
TRAIN013,0.0347048567297558 (0.09437383105619622),0.04399534249320053 (0.10006942879129359),0.05155820364554088 (0.07282012635223153)
TRAIN015,nan (nan),0.18584090758115054 (0.12212035229165874),0.35142915775733335 (0.10845387907981384)
TRAIN028,nan (nan),0.7862790695258549 (0.15527752185539415),0.1808395301076499 (0.19852129690441972)
TRAIN029,0.6937844981165493 (0.12367772098702738),0.8510648906230927 (0.079849326509423),nan (nan)
TRAIN032,0.665772697147058 (0.11540487764717988),0.7845335894209498 (0.1578448062974404),nan (nan)
TRAIN041,0.5653550624847412 (0.18092593605344337),nan (nan),nan (nan)
TRAIN046,0.3832410716244744 (0.23524086966595226),0.4987027744452159 (0.19577227673948847),0.3713473588454001 (0.20160041949584126)
TRAIN049,nan (nan),0.3382748067378998 (0.30125322733233967),0.40684031181294344 (0.1931972125706797)
TRAIN050,0.06134937202708947 (0.11092735473164332),nan (nan),0.22267602315828713 (0.18776012298360206)
TRAIN051,0.04468786815295414 (0.0592796023668689),0.3114382579330016 (0.2455016336499688),nan (nan)
TRAIN056,0.13065664259354687 (0.2058502658552793),nan (nan),nan (nan)
