Volume,dice_IRF
TRAIN003,0.6739130434782609 (0.471348210151066)
TRAIN005,0.59375 (0.4930621017888848)
TRAIN007,0.7169811320754716 (0.45477629710263706)
TRAIN015,0.0546875 (0.22826265262341358)
TRAIN022,0.25806451612903225 (0.4448027229745693)
TRAIN026,0.9459459459459459 (0.2292434351351256)
TRAIN036,0.6153846153846154 (0.49613893835683376)
TRAIN043,0.8064516129032258 (0.4016096644512494)
TRAIN044,0.7142857142857143 (0.4629100498862757)
TRAIN054,0.9 (0.30168068541929594)
TRAIN056,1.0 (0.0)
TRAIN057,0.6328125 (0.4839322811674229)
TRAIN066,0.9333333333333333 (0.25084128112136306)
TRAIN069,0.734375 (0.443400869088753)
