Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.8586956521739131 (0.3502439256481348),0.6484375 (0.4793342454880914),0.953125 (0.21220162006698992)
TRAIN005,0.2578125 (0.43914902946350703),0.6027397260273972 (0.4927171271913547),0.2898550724637681 (0.4570187689337443)
TRAIN006,0.3246753246753247 (0.4713239594778242),0.8671875 (0.3407054688956916),0.890625 (0.31333549728408966)
TRAIN009,0.6593406593406593 (0.47655663578028906),0.8984375 (0.30325903664538434),0.5087719298245614 (0.5021302238294051)
TRAIN020,0.26582278481012656 (0.44459318078134485),0.0 (0.0),0.0 (0.0)
TRAIN030,0.7 (0.466091599699399),0.8275862068965517 (0.38442587221924474),0.9411764705882353 (0.24253562503633297)
TRAIN036,0.8076923076923077 (0.40191847623425014),1.0 (0.0),0.9795918367346939 (0.14285714285714285)
TRAIN038,0.4489795918367347 (0.5025445456953674),1.0 (0.0),0.875 (0.3415650255319866)
TRAIN045,0.8 (0.40683810217248617),0.7142857142857143 (0.45643546458763845),0.6111111111111112 (0.4944132324730441)
TRAIN047,0.88 (0.33166247903554),0.7959183673469388 (0.40720550896397784),0.8163265306122449 (0.39123039821797584)
TRAIN055,0.8306451612903226 (0.37658659902041447),0.890625 (0.3133354972840896),0.9545454545454546 (0.20989507868443233)
TRAIN058,0.890625 (0.3133354972840896),0.875 (0.3320184038158742),0.925531914893617 (0.26393880449618307)
TRAIN061,0.9066666666666666 (0.2928579276129738),0.8181818181818182 (0.38924947208076144),0.8985507246376812 (0.30413462267999425)
TRAIN066,0.9666666666666667 (0.18051113445691197),1.0 (0.0),0.984375 (0.12450690143095285)
