Volume,dice_SRF
TRAIN007,0.578125 (0.49579928311148075)
TRAIN011,0.47126436781609193 (0.5020673646029037)
TRAIN015,0.8571428571428571 (0.3563483225498992)
TRAIN017,0.578125 (0.4957992831114807)
TRAIN020,0.0 (0.0)
TRAIN026,0.8571428571428571 (0.35355339059327373)
TRAIN028,0.9714285714285714 (0.1690308509457033)
TRAIN031,0.7959183673469388 (0.4072055089639778)
TRAIN035,0.5 (0.5477225575051661)
TRAIN041,0.9183673469387755 (0.2766416675862441)
TRAIN054,0.9008264462809917 (0.3001377094403487)
TRAIN058,0.8828125 (0.32290740609869234)
TRAIN059,0.9203539823008849 (0.27195039333468984)
TRAIN061,0.8181818181818182 (0.38924947208076144)
