vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.60 (0.04),0.72 (0.08),0.57 (0.01)
Spectralis,0.62 (0.05),0.84 (0.04),0.66 (0.05)
Topcon,0.59 (0.04),0.64 (0.05),0.58 (0.07)
