Volume,dice_IRF,dice_SRF,dice_PED
TRAIN004,0.0 (0.0),0.5555555555555556 (0.5270462766947299),0.02857142857142857 (0.1690308509457033)
TRAIN007,0.018867924528301886 (0.137360563948689),0.15625 (0.36451888256718806),0.3359375 (0.4741730264946733)
TRAIN018,0.184 (0.389043492054137),0.84375 (0.3645188825671882),0.84375 (0.36451888256718806)
TRAIN022,0.0 (0.0),0.0078125 (0.08838834764831843),0.03125 (0.1746763035549529)
TRAIN024,0.140625 (0.3490002594588752),0.0703125 (0.2566775528590926),0.050505050505050504 (0.22009911374694652)
TRAIN026,0.6486486486486487 (0.48397751418246093),0.5510204081632653 (0.5025445456953674),0.30612244897959184 (0.4656573146573319)
TRAIN034,0.8888888888888888 (0.32338083338177726),0.6938775510204082 (0.46565731465733207),0.6530612244897959 (0.4809288065886703)
TRAIN040,0.45454545454545453 (0.5096471914376256),0.21951219512195122 (0.41905817746174695),0.30612244897959184 (0.46565731465733207)
TRAIN043,0.41935483870967744 (0.501610310127101),0.4583333333333333 (0.5089773777040515),0.391304347826087 (0.4990108793478454)
TRAIN044,0.09523809523809523 (0.30079260375911915),0.0 (0.0),0.13636363636363635 (0.35125008665710444)
TRAIN052,0.37 (0.4852365870939097),0.9130434782608695 (0.28300447554902375),0.515625 (0.5017194843185601)
TRAIN054,0.4 (0.49264249635357604),0.7933884297520661 (0.4065578140908709),0.6171875 (0.4879830536298583)
TRAIN059,0.1568627450980392 (0.3672900227127245),0.7699115044247787 (0.4227640670448752),0.328125 (0.4713755210973134)
TRAIN069,0.046875 (0.21220162006698987),0.18253968253968253 (0.3878307600135637),0.0 (0.0)
