Volume,dice_IRF,dice_SRF,dice_PED
TRAIN004,0.10776355711277574 (0.17884490751478258),0.5942013083258644 (0.21486052475289288),0.35508485612808727 (0.28202121648282)
TRAIN007,0.30510204983875155 (0.28424263098159674),0.15625 (0.36451888256718806),0.3359375 (0.4741730264946733)
TRAIN018,0.19928892189636827 (0.3971266181424635),0.84375 (0.3645188825671882),0.84375 (0.36451888256718806)
TRAIN022,0.45623881567735225 (0.2710623736629974),0.0078125 (0.08838834764831843),0.03125 (0.1746763035549529)
TRAIN024,0.140625 (0.3490002594588752),0.0703125 (0.2566775528590926),0.11613365483935922 (0.23683494783669912)
TRAIN026,0.6681044308506713 (0.42189511953426834),0.5510204081632653 (0.5025445456953674),0.30612244897959184 (0.4656573146573319)
TRAIN034,0.6715023604278662 (0.3368716844575306),0.6938775510204082 (0.46565731465733207),0.6530612244897959 (0.4809288065886703)
TRAIN040,0.550977421050169 (0.3598269548808316),0.27664449385234285 (0.41107855358438194),0.30612244897959184 (0.46565731465733207)
TRAIN043,0.46446106993422215 (0.40930723292111426),0.6086907082674454 (0.40210210664812096),0.49358867169642934 (0.3845940009010804)
TRAIN044,0.40145197084971834 (0.34290869739542124),0.6881632146340015 (0.31479756721817304),0.3537488452025822 (0.31452344946840133)
TRAIN052,0.3853001556126401 (0.4441800408456599),0.8725469410419464 (0.3053000989933981),0.515625 (0.5017194843185601)
TRAIN054,0.4478738661855459 (0.42194690987354605),0.7778887198655866 (0.4041662613611287),0.6171875 (0.4879830536298583)
TRAIN059,0.4041923681652406 (0.3295383705109881),0.7377840233966708 (0.4157197132839501),0.328125 (0.4713755210973134)
TRAIN069,0.046875 (0.21220162006698987),0.1832875593099743 (0.38589572123354604),0.16813596143038012 (0.21341502977240728)
