Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.38643912038403666 (0.2927910316690255),0.14653028803877532 (0.12153743265753755),nan (nan)
TRAIN017,0.11531404862382813 (0.18607910842283337),nan (nan),0.1475398635450152 (0.14407502110491593)
TRAIN019,0.5050864869263023 (0.2691036373563789),nan (nan),nan (nan)
TRAIN021,0.40515740572110465 (0.13233615038851254),0.1406200311263092 (0.17423014023677738),nan (nan)
TRAIN023,nan (nan),nan (nan),0.23271588465749202 (0.14617557936353917)
TRAIN025,0.608559538424015 (0.22809743602121368),nan (nan),0.6580729782581329 (0.11626865066108291)
TRAIN031,nan (nan),nan (nan),0.6038344209082425 (0.2548513939634585)
TRAIN035,nan (nan),0.8697306499924771 (0.14296396569811598),0.5029197397331396 (0.1812864233839658)
TRAIN037,0.5845551247499428 (0.15573518115925622),0.8360446691513062 (0.1175178826342432),nan (nan)
TRAIN053,0.03550194872622477 (0.12042399556503047),0.2646328211012115 (0.27945340664757773),0.299328189977306 (0.14208157344695407)
TRAIN057,nan (nan),0.42306915746082235 (0.21221408800544883),0.4300948260153862 (0.13243332601390254)
TRAIN060,0.049076001801662834 (0.09518546778180922),nan (nan),nan (nan)
TRAIN065,0.12627669028006494 (0.19568734855275377),nan (nan),nan (nan)
TRAIN070,0.16300637179038263 (0.21011480077285585),nan (nan),nan (nan)
